Packet Log - Server Side
Timestamp | Packet # | Action | Checksum | Status
Packet Log - Client Side
Timestamp | Packet # | Action | Checksum | Status
1740360574.275019 | 0 | Sent | 60 | Success
1740360574.280051 | 0 | Received | 60 | Success
1740360574.6349618 | 1 | Sent | 169 | Success
1740360574.6401138 | 1 | Received | 169 | Success
1740360574.7896268 | 0 | Sent | 145 | Success
1740360574.794712 | 0 | Received | 145 | Success
1740360575.046876 | 1 | Sent | 25 | Success
1740360575.0546591 | 1 | Received | 25 | Success
1740360575.389196 | 0 | Sent | 36 | Success
1740360575.394304 | 0 | Received | 36 | Success
1740360575.785814 | 1 | Sent | 35 | Success
1740360575.788383 | 1 | Received | 35 | Success
1740360576.197345 | 0 | Sent | 218 | Success
1740360576.2035148 | 0 | Received | 218 | Success
1740360576.3143501 | 1 | Sent | 65 | Success
1740360576.319936 | 1 | Received | 65 | Success
1740360576.793484 | 0 | Sent | 8 | Success
1740360576.7989 | 0 | Received | 8 | Success
1740360576.917274 | 1 | Sent | 168 | Success
1740360576.922786 | 1 | Received | 168 | Success
1740360577.412931 | 0 | Sent | 92 | Success
1740360577.418421 | 0 | Received | 92 | Success
1740360577.912905 | 1 | Sent | 143 | Success
1740360577.9184818 | 1 | Received | 143 | Success
1740360578.13759 | 0 | Sent | 106 | Success
1740360578.141217 | 0 | Received | 106 | Success
1740360578.451078 | 1 | Sent | 32 | Success
1740360578.456647 | 1 | Received | 32 | Success
1740360578.482653 | 0 | Sent | 95 | Success
1740360578.486505 | 0 | Received | 95 | Success
1740360578.775129 | 1 | Sent | 203 | Success
1740360578.7804139 | 1 | Received | 203 | Success
1740360578.904635 | 0 | Sent | 79 | Success
1740360578.909885 | 0 | Received | 79 | Success
1740360579.2915032 | 1 | Sent | 230 | Success
1740360579.296705 | 1 | Received | 230 | Success
1740360579.74172 | 0 | Sent | 198 | Success
1740360579.7473438 | 0 | Received | 198 | Success
1740360579.95226 | 1 | Sent | 28 | Success
1740360579.957572 | 1 | Received | 28 | Success
1740360580.456486 | 0 | Sent | 88 | Success
1740360580.463577 | 0 | Received | 88 | Success
1740360580.5657248 | 1 | Sent | 19 | Success
1740360580.568963 | 1 | Received | 19 | Success
1740360581.017451 | 0 | Sent | 223 | Success
1740360581.023691 | 0 | Received | 223 | Success
1740360581.100779 | 1 | Sent | 190 | Success
1740360581.105196 | 1 | Received | 190 | Success
1740360581.320506 | 0 | Sent | 96 | Success
1740360581.325529 | 0 | Received | 96 | Success
1740360581.71965 | 1 | Sent | 166 | Success
1740360581.7246442 | 1 | Received | 166 | Success
1740360581.818624 | 0 | Sent | 200 | Success
1740360581.8233511 | 0 | Received | 200 | Success
1740360581.834414 | 1 | Sent | 71 | Success
1740360581.83824 | 1 | Received | 71 | Success
1740360582.128913 | 0 | Sent | 34 | Success
1740360582.131698 | 0 | Received | 34 | Success
1740360582.536671 | 1 | Sent | 5 | Success
1740360582.541801 | 1 | Received | 5 | Success
1740360582.7401989 | 0 | Sent | 248 | Success
1740360582.745164 | 0 | Received | 248 | Success
1740360583.252098 | 1 | Sent | 8 | Success
1740360583.2573152 | 1 | Received | 8 | Success
1740360583.434328 | 0 | Sent | 138 | Success
1740360583.4406872 | 0 | Received | 138 | Success
1740360583.90359 | 1 | Sent | 238 | Success
1740360583.908167 | 1 | Received | 238 | Success
1740360584.112501 | 0 | Sent | 56 | Success
1740360584.117575 | 0 | Received | 56 | Success
1740360584.51406 | 1 | Sent | 150 | Success
1740360584.518471 | 1 | Received | 150 | Success
1740360584.5623639 | 0 | Sent | 252 | Success
1740360584.56602 | 0 | Received | 252 | Success
1740360584.580632 | 1 | Sent | 189 | Success
1740360584.583421 | 1 | Received | 189 | Success
1740360584.629427 | 0 | Sent | 184 | Success
1740360584.633093 | 0 | Received | 184 | Success
1740360584.988683 | 1 | Sent | 193 | Success
1740360584.994535 | 1 | Received | 193 | Success
1740360585.173814 | 0 | Sent | 143 | Success
1740360585.179629 | 0 | Received | 143 | Success
1740360585.437106 | 1 | Sent | 9 | Success
1740360585.442809 | 1 | Received | 9 | Success
1740360585.5065238 | 0 | Sent | 181 | Success
1740360585.5119 | 0 | Received | 181 | Success
1740360585.748024 | 1 | Sent | 199 | Success
1740360585.753526 | 1 | Received | 199 | Success
1740360585.8076549 | 0 | Sent | 111 | Success
1740360585.809698 | 0 | Received | 111 | Success
1740360586.094393 | 1 | Sent | 81 | Success
1740360586.0993721 | 1 | Received | 81 | Success
1740360586.3671691 | 0 | Sent | 180 | Success
1740360586.373162 | 0 | Received | 180 | Success
1740360586.591903 | 1 | Sent | 233 | Success
1740360586.598001 | 1 | Received | 233 | Success
1740360586.641645 | 0 | Sent | 103 | Success
1740360586.646817 | 0 | Received | 103 | Success
1740360587.095266 | 1 | Sent | 7 | Success
1740360587.101289 | 1 | Received | 7 | Success
1740360587.533277 | 0 | Sent | 20 | Success
1740360587.538404 | 0 | Received | 20 | Success
1740360587.8741481 | 1 | Sent | 174 | Success
1740360587.879153 | 1 | Received | 174 | Success
1740360588.3783941 | 0 | Sent | 183 | Success
1740360588.383553 | 0 | Received | 183 | Success
1740360588.790859 | 1 | Sent | 172 | Success
1740360588.795313 | 1 | Received | 172 | Success
1740360589.213079 | 0 | Sent | 154 | Success
1740360589.2181199 | 0 | Received | 154 | Success
1740360589.22434 | 1 | Sent | 108 | Success
1740360589.229132 | 1 | Received | 108 | Success
1740360589.427157 | 0 | Sent | 174 | Success
1740360589.432766 | 0 | Received | 174 | Success
1740360589.6070359 | 1 | Sent | 103 | Success
1740360589.6101062 | 1 | Received | 103 | Success
1740360590.114151 | 0 | Sent | 75 | Success
1740360590.1196852 | 0 | Received | 75 | Success
1740360590.53502 | 1 | Sent | 176 | Success
1740360590.5409899 | 1 | Received | 176 | Success
1740360590.634466 | 0 | Sent | 150 | Success
1740360590.63963 | 0 | Received | 150 | Success
1740360590.97649 | 1 | Sent | 214 | Success
1740360590.979937 | 1 | Received | 214 | Success
1740360591.377677 | 0 | Sent | 142 | Success
1740360591.3826911 | 0 | Received | 142 | Success
1740360591.6795661 | 1 | Sent | 71 | Success
1740360591.684583 | 1 | Received | 71 | Success
1740360591.762959 | 0 | Sent | 148 | Success
1740360591.767504 | 0 | Received | 148 | Success
1740360592.242133 | 1 | Sent | 179 | Success
1740360592.245281 | 1 | Received | 179 | Success
1740360592.258667 | 0 | Sent | 118 | Success
1740360592.2613719 | 0 | Received | 118 | Success
1740360592.592546 | 1 | Sent | 254 | Success
1740360592.5978408 | 1 | Received | 254 | Success
1740360592.741898 | 0 | Sent | 247 | Success
1740360592.745805 | 0 | Received | 247 | Success
1740360592.878759 | 1 | Sent | 9 | Success
1740360592.883683 | 1 | Received | 9 | Success
1740360593.126176 | 0 | Sent | 218 | Success
1740360593.1299782 | 0 | Received | 218 | Success
1740360593.411829 | 1 | Sent | 62 | Success
1740360593.417753 | 1 | Received | 62 | Success
1740360593.8955579 | 0 | Sent | 34 | Success
1740360593.9005299 | 0 | Received | 34 | Success
1740360594.151535 | 1 | Sent | 38 | Success
1740360594.1564312 | 1 | Received | 38 | Success
1740360594.645344 | 0 | Sent | 99 | Success
1740360594.6507 | 0 | Received | 99 | Success
1740360594.8523378 | 1 | Sent | 38 | Success
1740360594.857326 | 1 | Received | 38 | Success
1740360595.166399 | 0 | Sent | 145 | Success
1740360595.171952 | 0 | Received | 145 | Success
1740360595.562495 | 1 | Sent | 29 | Success
1740360595.5671391 | 1 | Received | 29 | Success
1740360595.675545 | 0 | Sent | 232 | Success
1740360595.680633 | 0 | Received | 232 | Success
1740360595.9924889 | 1 | Sent | 88 | Success
1740360595.9967659 | 1 | Received | 88 | Success
1740360596.504941 | 0 | Sent | 35 | Success
1740360596.5098581 | 0 | Received | 35 | Success
1740360596.573142 | 1 | Sent | 80 | Success
1740360596.57756 | 1 | Received | 80 | Success
1740360596.610015 | 0 | Sent | 117 | Success
1740360596.6142778 | 0 | Received | 117 | Success
1740360597.047085 | 1 | Sent | 154 | Success
1740360597.050439 | 1 | Received | 154 | Success
1740360597.247196 | 0 | Sent | 14 | Success
1740360597.2494102 | 0 | Received | 14 | Success
1740360597.322767 | 1 | Sent | 143 | Success
1740360597.325315 | 1 | Received | 143 | Success
1740360597.506795 | 0 | Sent | 65 | Success
1740360597.512539 | 0 | Received | 65 | Success
1740360597.6599739 | 1 | Sent | 241 | Success
1740360597.665781 | 1 | Received | 241 | Success
1740360597.705456 | 0 | Sent | 255 | Success
1740360597.70943 | 0 | Received | 255 | Success
1740360598.18551 | 1 | Sent | 172 | Success
1740360598.1914408 | 1 | Received | 172 | Success
1740360598.589673 | 0 | Sent | 112 | Success
1740360598.595407 | 0 | Received | 112 | Success
1740360598.696165 | 1 | Sent | 114 | Success
1740360598.701497 | 1 | Received | 114 | Success
1740360599.080291 | 0 | Sent | 191 | Success
1740360599.085396 | 0 | Received | 191 | Success
1740360599.492466 | 1 | Sent | 248 | Success
1740360599.496164 | 1 | Received | 248 | Success
1740360599.635067 | 0 | Sent | 224 | Success
1740360599.6411352 | 0 | Received | 224 | Success
1740360599.933973 | 1 | Sent | 232 | Success
1740360599.939275 | 1 | Received | 232 | Success
1740360600.110464 | 0 | Sent | 219 | Success
1740360600.115621 | 0 | Received | 219 | Success
1740360600.122421 | 1 | Sent | 98 | Success
1740360600.12705 | 1 | Received | 98 | Success
1740360600.5747662 | 0 | Sent | 190 | Success
1740360600.580672 | 0 | Received | 190 | Success
1740360600.603243 | 1 | Sent | 113 | Success
1740360600.606511 | 1 | Received | 113 | Success
1740360600.7122612 | 0 | Sent | 233 | Success
1740360600.717064 | 0 | Received | 233 | Success
1740360601.0982022 | 1 | Sent | 160 | Success
1740360601.10371 | 1 | Received | 160 | Success
1740360601.257061 | 0 | Sent | 117 | Success
1740360601.262848 | 0 | Received | 117 | Success
1740360601.498207 | 1 | Sent | 223 | Success
1740360601.5040169 | 1 | Received | 223 | Success
1740360601.8030012 | 0 | Sent | 20 | Success
1740360601.809238 | 0 | Received | 20 | Success
1740360601.991621 | 1 | Sent | 69 | Success
1740360601.996212 | 1 | Received | 69 | Success
1740360602.499062 | 0 | Sent | 99 | Success
1740360602.502576 | 0 | Received | 99 | Success
1740360602.971296 | 1 | Sent | 220 | Success
1740360602.9743922 | 1 | Received | 220 | Success
1740360603.0301719 | 0 | Sent | 179 | Success
1740360603.035397 | 0 | Received | 179 | Success
1740360603.44712 | 1 | Sent | 239 | Success
1740360603.452229 | 1 | Received | 239 | Success
1740360603.650482 | 0 | Sent | 30 | Success
1740360603.6537228 | 0 | Received | 30 | Success
1740360604.001725 | 1 | Sent | 116 | Success
1740360604.006835 | 1 | Received | 116 | Success
1740360604.069998 | 0 | Sent | 82 | Success
1740360604.0744052 | 0 | Received | 82 | Success
1740360604.4814122 | 1 | Sent | 2 | Success
1740360604.487103 | 1 | Received | 2 | Success
1740360604.704885 | 0 | Sent | 178 | Success
1740360604.7094772 | 0 | Received | 178 | Success
1740360604.7489998 | 1 | Sent | 158 | Success
1740360604.753411 | 1 | Received | 158 | Success
1740360605.0130649 | 0 | Sent | 172 | Success
1740360605.019104 | 0 | Received | 172 | Success
